NC-003494|2025-01-08 09:57:13|76|76|2970.03|0.00|0.00|0.00|2970.03|FACT|01|01|N/A|2025-01-08 09:57:13|00-047561|313048810|411939188|Documento Asociado: FACT-043520|Bs.|66.56|
FACT-043705|2025-01-08 09:59:14|403|403|2970.03|0.00|0.00|0.00|2970.03|FACT|01|01|N/A|2025-01-08 09:59:14|00-047562|413250918|411939188||Bs.|66.56|
FACT-043706|2025-01-08 11:09:14|1907|1907|7988.91|0.00|0.00|0.00|7988.91|FACT|01|01|N/A|2025-01-08 11:09:14|00-047563|501194939|411939188||Bs.|66.56|
FACT-043707|2025-01-08 11:09:17|1907|1907|10481.86|0.00|0.00|0.00|10481.86|FACT|01|01|N/A|2025-01-08 11:09:17|00-047564|501194939|411939188||Bs.|66.56|
FACT-043708|2025-01-08 11:09:18|1907|1907|337.53|0.00|0.00|0.00|337.53|FACT|01|01|N/A|2025-01-08 11:09:18|00-047565|501194939|411939188||Bs.|66.56|
FACT-043709|2025-01-08 11:35:56|42|42|7877.71|0.00|0.00|0.00|7877.71|FACT|01|01|N/A|2025-01-08 11:35:56|00-047566|306617680|411939188||Bs.|66.56|
FACT-043710|2025-01-08 11:38:08|871|871|29893.51|0.00|0.00|0.00|29893.51|FACT|01|01|N/A|2025-01-08 11:38:08|00-047567|500383924|411939188||Bs.|66.56|
FACT-043711|2025-01-08 12:38:45|42|42|7782.18|0.00|0.00|0.00|7782.18|FACT|01|01|N/A|2025-01-08 12:38:45|00-047568|306617680|411939188||Bs.|66.56|
FACT-043712|2025-01-08 12:47:17|2054|2054|4085.59|0.00|0.00|0.00|4085.59|FACT|01|01|N/A|2025-01-08 12:47:17|00-047569|504168238|411939188||Bs.|66.56|
NC-003495|2025-01-08 12:52:59|363|363|237.95|0.00|0.00|0.00|237.95|FACT|01|01|N/A|2025-01-08 12:52:59|00-047570|411283029|411939188|Documento Asociado: FACT-043606|Bs.|66.56|
NC-003496|2025-01-08 12:56:12|2018|2018|327.07|0.00|0.00|0.00|327.07|FACT|01|01|N/A|2025-01-08 12:56:12|00-047571|504749966|411939188|Documento Asociado: FACT-042418|Bs.|66.56|
NC-003497|2025-01-08 12:58:33|1807|1807|76.79|0.00|0.00|0.00|76.79|FACT|01|01|N/A|2025-01-08 12:58:33|00-047572|302004080|411939188|Documento Asociado: FACT-043432|Bs.|66.56|
FACT-043713|2025-01-08 13:00:09|243|243|26293.22|0.00|0.00|0.00|26293.22|FACT|01|01|N/A|2025-01-08 13:00:09|00-047573|400763568|411939188||Bs.|66.56|
FACT-043714|2025-01-08 13:00:10|243|243|20571.26|91.92|592.26|0.00|20663.17|FACT|01|01|N/A|2025-01-08 13:00:10|00-047574|400763568|411939188||Bs.|66.56|
NC-003498|2025-01-08 13:04:39|363|363|564.42|0.00|0.00|0.00|564.42|FACT|01|01|N/A|2025-01-08 13:04:39|00-047575|411283029|411939188|Documento Asociado: FACT-043608|Bs.|66.56|
NC-003499|2025-01-08 13:06:58|450|450|105.88|0.00|0.00|0.00|105.88|FACT|01|01|N/A|2025-01-08 13:06:58|00-047576|000802610|411939188|Documento Asociado: FACT-043335|Bs.|66.56|
NC-003500|2025-01-08 13:09:12|2110|2110|487.32|0.00|0.00|0.00|487.32|FACT|01|01|N/A|2025-01-08 13:09:12|00-047577|505718428|411939188|Documento Asociado: FACT-043366|Bs.|66.56|
NC-003501|2025-01-08 13:11:42|1787|1787|868.44|0.00|0.00|0.00|868.44|FACT|01|01|N/A|2025-01-08 13:11:42|00-047578|503331178|411939188|Documento Asociado: FACT-043490|Bs.|66.56|
NC-003502|2025-01-08 13:14:28|363|363|274.03|0.00|0.00|0.00|274.03|FACT|01|01|N/A|2025-01-08 13:14:28|00-047579|411283029|411939188|Documento Asociado: FACT-043475|Bs.|66.56|
