3;1143;912116;333;96.00;0.00;0.00;14.74;1415.0400
4;1143;912116;465;96.00;0.00;0.00;15.55;1492.8000
5;1143;912116;334;96.00;0.00;0.00;13.95;1339.2000
6;1143;912116;335;96.00;0.00;0.00;18.44;1770.2400
7;1143;912116;932;48.00;0.00;0.00;12.00;576.0000
8;1143;912116;337;240.00;0.00;0.00;11.39;2733.6000
9;1143;912116;528;96.00;0.00;0.00;10.62;1019.5200
10;1143;912116;650;120.00;0.00;0.00;16.72;2006.4000
11;1143;912116;1271;96.00;0.00;0.00;15.23;1462.0800
12;1143;912116;1272;96.00;0.00;0.00;22.00;2112.0000
13;1143;912116;1270;48.00;0.00;0.00;10.50;504.0000
1;1161;1400081919;935;96.00;0.00;0.00;52.25;5016.0000
1;1163;1000032973;826;55.00;0.00;0.00;19.00;1045.0000
2;1163;1000032973;1021;120.00;0.00;0.00;15.20;1824.0000
3;1163;1000032973;1020;96.00;0.00;0.00;15.20;1459.2000
4;1163;1000032973;1018;120.00;0.00;0.00;19.00;2280.0000
5;1163;1000032973;828;96.00;0.00;0.00;11.88;1140.4800
6;1163;1000032973;829;144.00;0.00;0.00;11.88;1710.7200
7;1163;1000032973;1107;96.00;0.00;0.00;40.38;3876.4800
8;1163;1000032973;1279;96.00;0.00;0.00;15.20;1459.2000
9;1163;1000032973;1280;120.00;0.00;0.00;36.43;4371.6000
1;1164;1000032972;834;48.00;0.00;0.00;40.38;1938.2400
2;1164;1000032972;837;120.00;0.00;0.00;28.50;3420.0000
3;1164;1000032972;1028;288.00;0.00;0.00;10.69;3078.7200
4;1164;1000032972;840;48.00;0.00;0.00;20.90;1003.2000
5;1164;1000032972;1019;288.00;0.00;0.00;6.89;1984.3200
6;1164;1000032972;842;288.00;0.00;0.00;19.00;5472.0000
7;1164;1000032972;824;144.00;0.00;0.00;11.88;1710.7200
8;1164;1000032972;1016;96.00;0.00;0.00;9.50;912.0000
1;1177;2383;1282;120.00;0.00;0.00;184.40;22128.0000
1;1180;00081986;463;360.00;0.00;0.00;15.33;5518.8000
2;1180;00081986;398;360.00;0.00;0.00;6.17;2221.2000
3;1180;00081986;402;120.00;0.00;0.00;8.41;1009.2000
4;1180;00081986;406;112.00;0.00;0.00;7.84;878.0800
5;1180;00081986;720;80.00;0.00;0.00;10.04;803.2000
6;1180;00081986;721;96.00;0.00;0.00;13.82;1326.7200
7;1180;00081986;408;220.00;0.00;0.00;5.26;1157.2000
8;1180;00081986;723;360.00;0.00;0.00;5.25;1890.0000
9;1180;00081986;1216;24.00;0.00;0.00;21.09;506.1600
10;1180;00081986;1217;36.00;0.00;0.00;11.33;407.8800
11;1180;00081986;725;48.00;0.00;0.00;5.14;246.7200
12;1180;00081986;1215;36.00;0.00;0.00;9.65;347.4000
13;1180;00081986;1285;72.00;0.00;0.00;12.99;935.2800
1;1189;2388;1282;230.00;0.00;0.00;184.80;42504.0000
1;1190;2390;1282;20.00;0.00;0.00;184.80;3696.0000
1;1191;2397;1282;400.00;0.00;0.00;185.20;74080.0000
1;1195;2400;1282;200.00;0.00;0.00;185.60;37120.0000
1;1200;1321;196;24.00;16.00;26.73;193.77;4650.4800
1;1201;2406;1282;120.00;0.00;0.00;185.60;22272.0000
1;1202;2405;1282;320.00;0.00;0.00;185.60;59392.0000
2;1202;2405;1009;20.00;0.00;0.00;116.00;2320.0000
1;1220;1000033667;839;120.00;16.00;4.18;30.31;3637.2000
2;1220;1000033667;1023;72.00;16.00;2.52;18.27;1315.4400
1;1221;1000033666;933;120.00;0.00;0.00;27.30;3276.0000
2;1221;1000033666;1106;96.00;0.00;0.00;63.00;6048.0000
3;1221;1000033666;1305;120.00;0.00;0.00;25.73;3087.6000
4;1221;1000033666;1026;96.00;0.00;0.00;17.85;1713.6000
5;1221;1000033666;822;192.00;0.00;0.00;5.94;1140.4800
6;1221;1000033666;823;120.00;0.00;0.00;9.50;1140.0000
7;1221;1000033666;1016;120.00;0.00;0.00;10.50;1260.0000
8;1221;1000033666;1279;120.00;0.00;0.00;15.20;1824.0000
9;1221;1000033666;1018;96.00;0.00;0.00;19.00;1824.0000
10;1221;1000033666;830;96.00;0.00;0.00;42.00;4032.0000
1;1226;1047852;1174;61.00;0.00;0.00;10.43;636.2300
2;1226;1047852;1308;200.00;0.00;0.00;38.29;7658.0000
1;1227;1047851;491;300.00;0.00;0.00;7.50;2250.0000
2;1227;1047851;243;300.00;0.00;0.00;8.95;2685.0000
3;1227;1047851;254;200.00;0.00;0.00;8.10;1620.0000
4;1227;1047851;70;200.00;0.00;0.00;10.90;2180.0000
5;1227;1047851;327;200.00;0.00;0.00;8.82;1764.0000
6;1227;1047851;348;200.00;0.00;0.00;3.40;680.0000
7;1227;1047851;321;100.00;0.00;0.00;11.70;1170.0000
8;1227;1047851;248;300.00;0.00;0.00;9.90;2970.0000
9;1227;1047851;323;200.00;0.00;0.00;12.60;2520.0000
10;1227;1047851;117;100.00;0.00;0.00;17.10;1710.0000
11;1227;1047851;1307;100.00;0.00;0.00;22.50;2250.0000
12;1227;1047851;160;100.00;0.00;0.00;3.82;382.0000
1;1230;00002420;1282;320.00;0.00;0.00;175.56;56179.2000
1;1240;2427;1282;200.00;0.00;0.00;175.56;35112.0000
1;1241;912738;343;96.00;0.00;0.00;17.49;1679.0400
1;1242;912737;330;240.00;0.00;0.00;19.29;4629.6000
2;1242;912737;1271;96.00;0.00;0.00;15.23;1462.0800
3;1242;912737;1272;96.00;0.00;0.00;24.06;2309.7600
4;1242;912737;335;192.00;0.00;0.00;18.44;3540.4800
5;1242;912737;932;96.00;0.00;0.00;12.00;1152.0000
6;1242;912737;1047;72.00;16.00;3.68;26.68;1920.9600
7;1242;912737;1047;24.00;16.00;3.68;26.68;640.3200
8;1242;912737;391;48.00;0.00;0.00;20.59;988.3200
9;1242;912737;646;96.00;0.00;0.00;18.54;1779.8400
10;1242;912737;337;240.00;0.00;0.00;11.39;2733.6000
11;1242;912737;467;96.00;0.00;0.00;39.87;3827.5200
12;1242;912737;754;48.00;0.00;0.00;13.88;666.2400
13;1242;912737;528;96.00;0.00;0.00;10.62;1019.5200
14;1242;912737;755;96.00;0.00;0.00;18.51;1776.9600
15;1242;912737;341;48.00;0.00;0.00;8.50;408.0000
16;1242;912737;342;48.00;0.00;0.00;12.53;601.4400
17;1242;912737;1270;48.00;0.00;0.00;10.50;504.0000
18;1242;912737;1324;48.00;0.00;0.00;9.00;432.0000
19;1242;912737;1323;96.00;0.00;0.00;16.21;1556.1600
20;1242;912737;1325;96.00;0.00;0.00;12.46;1196.1600
21;1242;912737;1326;96.00;0.00;0.00;27.21;2612.1600
1;1244;00149302;635;170.00;0.00;0.00;15.02;2553.4000
2;1244;00149302;633;150.00;0.00;0.00;4.30;645.0000
3;1244;00149302;633;50.00;0.00;0.00;4.30;215.0000
4;1244;00149302;631;72.00;0.00;0.00;16.22;1167.8400
5;1244;00149302;625;135.00;0.00;0.00;10.21;1378.3500
6;1244;00149302;991;196.00;0.00;0.00;14.44;2830.2400
7;1244;00149302;623;140.00;0.00;0.00;8.49;1188.6000
8;1244;00149302;619;144.00;0.00;0.00;10.14;1460.1600
9;1244;00149302;1328;176.00;0.00;0.00;23.89;4204.6400
10;1244;00149302;1330;80.00;0.00;0.00;10.99;879.2000
1;1245;00149301;992;72.00;0.00;0.00;31.51;2268.7200
2;1245;00149301;622;156.00;0.00;0.00;5.81;906.3600
3;1245;00149301;928;120.00;0.00;0.00;9.53;1143.6000
4;1245;00149301;922;225.00;0.00;0.00;12.94;2911.5000
5;1245;00149301;776;72.00;0.00;0.00;12.24;881.2800
6;1245;00149301;775;96.00;0.00;0.00;9.38;900.4800
7;1245;00149301;665;72.00;0.00;0.00;15.09;1086.4800
8;1245;00149301;664;96.00;0.00;0.00;11.14;1069.4400
9;1245;00149301;642;480.00;0.00;0.00;16.88;8102.4000
10;1245;00149301;663;225.00;0.00;0.00;5.69;1280.2500
1;1246;00149303;620;96.00;0.00;0.00;10.00;960.0000
2;1246;00149303;1327;96.00;0.00;0.00;10.50;1008.0000
3;1246;00149303;1329;72.00;0.00;0.00;12.70;914.4000
4;1246;00149303;1331;80.00;0.00;0.00;9.81;784.8000
1;1258;1048436;507;450.00;0.00;0.00;4.50;2025.0000
1;1259;1048406;324;600.00;0.00;0.00;9.50;5700.0000
2;1259;1048406;347;200.00;0.00;0.00;13.00;2600.0000
3;1259;1048406;126;200.00;0.00;0.00;11.03;2206.0000
4;1259;1048406;374;300.00;0.00;0.00;9.50;2850.0000
5;1259;1048406;507;550.00;0.00;0.00;4.50;2475.0000
6;1259;1048406;243;600.00;0.00;0.00;4.97;2982.0000
7;1259;1048406;531;600.00;0.00;0.00;3.00;1800.0000
1;1268;1048589;507;3000.00;0.00;0.00;9.50;28500.0000
1;1270;00007324;1341;500.00;0.00;0.00;17.63;8815.0000
1;1278;1000461248;1346;50.00;0.00;0.00;24.60;1230.0000
1;1279;7000167030;818;120.00;0.00;0.00;10.30;1236.0000
2;1279;7000167030;812;96.00;0.00;0.00;15.49;1487.0400
3;1279;7000167030;819;96.00;0.00;0.00;37.04;3555.8400
1;1280;7000167023;808;80.00;0.00;0.00;23.15;1852.0000
2;1280;7000167023;1344;96.00;0.00;0.00;9.26;888.9600
3;1280;7000167023;820;96.00;16.00;1.26;9.14;877.4400
1;1281;7000167022;816;120.00;0.00;0.00;8.93;1071.6000
2;1281;7000167022;817;96.00;0.00;0.00;12.52;1201.9200
3;1281;7000167022;809;96.00;0.00;0.00;10.71;1028.1600
4;1281;7000167022;779;96.00;0.00;0.00;70.91;6807.3600
1;1282;1000461249;796;96.00;0.00;0.00;19.38;1860.4800
2;1282;1000461249;149;120.00;0.00;0.00;12.55;1506.0000
3;1282;1000461249;1475;30.00;0.00;0.00;16.05;481.5000
4;1282;1000461249;791;120.00;0.00;0.00;28.73;3447.6000
5;1282;1000461249;1256;96.00;0.00;0.00;8.68;833.2800
6;1282;1000461249;63;120.00;0.00;0.00;7.78;933.6000
7;1282;1000461249;805;96.00;0.00;0.00;22.05;2116.8000
8;1282;1000461249;1345;32.00;0.00;0.00;0.00;0.0000
9;1282;1000461249;803;100.00;0.00;0.00;20.13;2013.0000
10;1282;1000461249;802;120.00;0.00;0.00;6.88;825.6000
1;1295;00149856;1204;490.00;0.00;0.00;23.32;11426.8000
2;1295;00149856;628;38.00;0.00;0.00;12.19;463.2200
3;1295;00149856;628;442.00;0.00;0.00;12.19;5387.9800
4;1295;00149856;695;360.00;0.00;0.00;16.89;6080.4000
5;1295;00149856;612;200.00;0.00;0.00;9.10;1820.0000
6;1295;00149856;1327;96.00;0.00;0.00;11.55;1108.8000
7;1295;00149856;632;225.00;0.00;0.00;5.69;1280.2500
8;1295;00149856;1352;200.00;0.00;0.00;16.81;3362.0000
1;1314;1049261;288;500.00;0.00;0.00;3.50;1750.0000
2;1314;1049261;244;300.00;0.00;0.00;12.75;3825.0000
3;1314;1049261;257;103.00;0.00;0.00;11.25;1158.7500
4;1314;1049261;257;497.00;0.00;0.00;11.25;5591.2500
5;1314;1049261;99;800.00;0.00;0.00;9.75;7800.0000
6;1314;1049261;123;400.00;0.00;0.00;3.50;1400.0000
7;1314;1049261;515;400.00;0.00;0.00;5.00;2000.0000
8;1314;1049261;727;500.00;0.00;0.00;10.00;5000.0000
9;1314;1049261;532;400.00;0.00;0.00;6.50;2600.0000
10;1314;1049261;325;500.00;0.00;0.00;13.75;6875.0000
11;1314;1049261;1307;236.00;0.00;0.00;13.25;3127.0000
12;1314;1049261;1488;500.00;0.00;0.00;9.00;4500.0000
1;1318;1049259;1456;400.00;0.00;0.00;70.00;28000.0000
2;1318;1049259;749;500.00;0.00;0.00;11.25;5625.0000
3;1318;1049259;1457;500.00;0.00;0.00;8.50;4250.0000
4;1318;1049259;1458;500.00;0.00;0.00;32.00;16000.0000
5;1318;1049259;1459;227.00;0.00;0.00;57.00;12939.0000
6;1318;1049259;1174;400.00;0.00;0.00;6.25;2500.0000
7;1318;1049259;1460;44.00;0.00;0.00;61.75;2717.0000
8;1318;1049259;1460;180.00;0.00;0.00;61.75;11115.0000
9;1318;1049259;1461;400.00;0.00;0.00;40.00;16000.0000
1;1320;1049260;490;400.00;0.00;0.00;2.75;1100.0000
2;1320;1049260;491;500.00;0.00;0.00;5.25;2625.0000
3;1320;1049260;348;437.00;0.00;0.00;2.50;1092.5000
4;1320;1049260;348;63.00;0.00;0.00;2.50;157.5000
5;1320;1049260;243;500.00;0.00;0.00;6.00;3000.0000
6;1320;1049260;327;20.00;0.00;0.00;6.00;120.0000
7;1320;1049260;327;480.00;0.00;0.00;6.00;2880.0000
8;1320;1049260;265;2.00;0.00;0.00;15.25;30.5000
9;1320;1049260;245;800.00;0.00;0.00;4.00;3200.0000
10;1320;1049260;40;500.00;0.00;0.00;3.50;1750.0000
11;1320;1049260;56;400.00;0.00;0.00;4.00;1600.0000
12;1320;1049260;253;500.00;0.00;0.00;3.50;1750.0000
13;1320;1049260;69;500.00;0.00;0.00;3.25;1625.0000
14;1320;1049260;531;400.00;0.00;0.00;3.00;1200.0000
15;1320;1049260;509;400.00;0.00;0.00;4.50;1800.0000
16;1320;1049260;510;400.00;0.00;0.00;5.50;2200.0000
17;1320;1049260;511;164.00;0.00;0.00;8.75;1435.0000
18;1320;1049260;512;400.00;0.00;0.00;7.75;3100.0000
19;1320;1049260;1032;500.00;0.00;0.00;6.00;3000.0000
20;1320;1049260;1462;500.00;0.00;0.00;3.25;1625.0000
1;1321;6000066926;1454;120.00;16.00;1.14;8.29;994.8000
2;1321;6000066926;1455;480.00;16.00;0.33;2.38;1142.4000
1;1322;6000066858;1450;84.00;16.00;0.61;4.40;369.6000
2;1322;6000066858;1451;84.00;16.00;0.61;4.40;369.6000
3;1322;6000066858;1452;36.00;16.00;0.53;3.82;137.5200
4;1322;6000066858;1453;264.00;16.00;0.55;3.99;1053.3600
1;1323;6000066857;1441;100.00;16.00;1.19;8.65;865.0000
2;1323;6000066857;1442;100.00;16.00;0.50;3.62;362.0000
3;1323;6000066857;1443;288.00;16.00;0.31;2.23;642.2400
4;1323;6000066857;1445;100.00;16.00;1.05;7.62;762.0000
5;1323;6000066857;1446;100.00;16.00;0.68;4.94;494.0000
6;1323;6000066857;1448;240.00;16.00;1.52;11.02;2644.8000
7;1323;6000066857;1449;48.00;16.00;0.77;5.61;269.2800
8;1323;6000066857;1444;72.00;16.00;1.37;9.93;714.9600
9;1323;6000066857;1447;120.00;16.00;1.17;8.51;1021.2000
1;1342;1400082117;935;120.00;0.00;0.00;57.75;6930.0000
2;1342;1400082117;1470;36.00;0.00;0.00;105.00;3780.0000
1;1344;1000034388;837;108.00;0.00;0.00;31.50;3402.0000
2;1344;1000034388;1027;144.00;0.00;0.00;6.04;869.7600
3;1344;1000034388;1463;72.00;0.00;0.00;89.25;6426.0000
4;1344;1000034388;1468;120.00;0.00;0.00;39.38;4725.6000
5;1344;1000034388;1469;36.00;0.00;0.00;30.19;1086.8400
6;1344;1000034388;1028;144.00;0.00;0.00;11.81;1700.6400
7;1344;1000034388;1466;24.00;0.00;0.00;21.00;504.0000
8;1344;1000034388;1207;96.00;0.00;0.00;15.75;1512.0000
9;1344;1000034388;1464;108.00;0.00;0.00;10.50;1134.0000
10;1344;1000034388;1474;144.00;0.00;0.00;19.95;2872.8000
1;1345;1000034389;1473;288.00;0.00;0.00;13.13;3781.4400
2;1345;1000034389;1472;96.00;0.00;0.00;15.75;1512.0000
3;1345;1000034389;1471;144.00;0.00;0.00;5.70;820.8000
4;1345;1000034389;843;72.00;0.00;0.00;26.25;1890.0000
5;1345;1000034389;1231;72.00;0.00;0.00;13.13;945.3600
6;1345;1000034389;1465;48.00;0.00;0.00;52.50;2520.0000
7;1345;1000034389;822;576.00;0.00;0.00;5.94;3421.4400
8;1345;1000034389;826;84.00;0.00;0.00;21.00;1764.0000
9;1345;1000034389;1467;168.00;0.00;0.00;14.70;2469.6000
10;1345;1000034389;829;120.00;0.00;0.00;13.13;1575.6000
11;1345;1000034389;1022;120.00;0.00;0.00;39.38;4725.6000
1;1346;1000034390;1208;84.00;0.00;0.00;28.50;2394.0000
1;1359;6000067118;1494;240.00;16.00;0.60;4.33;1039.2000
1;1361;1050130;264;1260.00;0.00;0.00;11.50;14490.0000
1;1377;61074290;757;504.00;0.00;0.00;12.06;6078.2400
1;1378;61074291;969;504.00;0.00;0.00;7.50;3780.0000
2;1378;61074291;684;504.00;0.00;0.00;10.16;5120.6400
1;1397;61074340;1178;108.00;0.00;0.00;21.99;2374.9200
2;1397;61074340;1179;108.00;0.00;0.00;5.01;541.0800
3;1397;61074340;1180;108.00;0.00;0.00;11.52;1244.1600
4;1397;61074340;1187;204.00;0.00;0.00;18.00;3672.0000
5;1397;61074340;203;108.00;0.00;0.00;7.50;810.0000
